t_s,plunger_pos_m,plunger_speed_m_s
0.0,0.0,0.0
0.000248,2.3e-05,0.1862
0.000497,9.2e-05,0.3722
0.000745,0.000208,0.5575
0.000993,0.000369,0.742
0.001242,0.000576,0.9254
0.00149,0.000829,1.1073
0.001739,0.001126,1.2876
0.001987,0.001468,1.4658
0.002235,0.001854,1.6418
0.002484,0.002284,1.8152
0.002732,0.002756,1.9859
0.00298,0.00327,2.1535
0.003229,0.003825,2.3177
0.003477,0.004421,2.4784
0.003725,0.005056,2.6353
0.003974,0.005729,2.7881
0.004222,0.00644,2.9366
0.004471,0.007188,3.0806
0.004719,0.00797,3.2198
0.004967,0.008787,3.3541
0.005216,0.009636,3.4832
0.005464,0.010517,3.6069
0.005712,0.011427,3.7251
0.005961,0.012366,3.8375
0.006209,0.013333,3.944
0.006457,0.014325,4.0444
0.006706,0.015341,4.1386
0.006954,0.01638,4.2264
0.007203,0.01744,4.3077
0.007451,0.018519,4.3823
0.007699,0.019616,4.4502
0.007948,0.020729,4.5113
0.008196,0.021857,4.5653
0.008444,0.022997,4.6124
0.008693,0.024147,4.6523
0.008941,0.025307,4.685
0.009189,0.026474,4.7105
0.009438,0.027646,4.7288
0.009686,0.028822,4.7398
0.009935,0.03,4.7434
